symbol,timestamp,close,future_close,forward_return,true_label,pred_signal,hybrid_score,technical_score,sentiment_score,volatility_index,confidence,reason
ETHUSDT,2025-10-29T17:00:00+00:00,4013.8,3770.94,-0.06050625342568143,SELL,HOLD,-0.0573,-0.191,0.0,0.0,0.0573,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T18:00:00+00:00,3917.9,3721.28,-0.05018504811250922,SELL,HOLD,-0.0907,-0.3023,0.0,0.0,0.0907,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T19:00:00+00:00,3905.71,3686.93,-0.056015423572154666,SELL,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T20:00:00+00:00,3951.47,3756.8,-0.04926521016229394,SELL,HOLD,-0.1303,-0.4342,0.0,0.0,0.1303,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T21:00:00+00:00,3956.76,3773.4,-0.04634094562217575,SELL,HOLD,-0.1365,-0.455,0.0,0.0,0.1365,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T22:00:00+00:00,3940.8,3783.79,-0.03984216402760866,SELL,HOLD,-0.1378,-0.4592,0.0,0.0,0.1378,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-29T23:00:00+00:00,3902.99,3805.09,-0.025083333546844763,SELL,HOLD,-0.1155,-0.385,0.0,0.0,0.1155,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-30T00:00:00+00:00,3922.56,3832.0,-0.023086963615597964,SELL,HOLD,-0.1453,-0.4845,0.0,0.0,0.1453,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-30T01:00:00+00:00,3927.55,3846.97,-0.02051660704510455,SELL,HOLD,-0.1252,-0.4172,0.0,0.0,0.1252,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-30T02:00:00+00:00,3945.66,3821.25,-0.03153084655038697,SELL,HOLD,0.0391,0.1302,0.0,0.0,0.0391,Neutral sentiment and technical indicators showing balanced market conditions
